Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,37102.90,-3605.96,-8.86%,69951
January 2024,40708.85,3105.28,+8.26%,73336
December 2023,37603.58,-510.13,-1.34%,64044
November 2023,38113.71,5873.78,+18.22%,69372
October 2023,32239.92,1336.06,+4.32%,58535
September 2023,30903.86,-1340.14,-4.16%,54453
August 2023,32244.01,-2756.78,-7.88%,56657
July 2023,35000.79,1780.43,+5.36%,58774
June 2023,33220.35,874.28,+2.70%,59394
May 2023,32346.07,-2643.27,-7.55%,58204
April 2023,34989.34,996.95,+2.93%,59757
March 2023,33992.39,-70.51,-0.21%,61054
February 2023,34062.90,-2163.75,-5.97%,60229
January 2023,36226.65,6212.82,+20.70%,63040
December 2022,30013.83,-474.34,-1.56%,50730
November 2022,30488.17,691.77,+2.32%,54609
October 2022,29796.40,1317.80,+4.63%,57176
September 2022,28478.60,664.58,+2.39%,52106
August 2022,27814.02,-1339.38,-4.59%,48116
July 2022,29153.40,659.57,+2.31%,47882
June 2022,28493.83,-399.72,-1.38%,52546
May 2022,28893.55,-562.24,-1.91%,53887
April 2022,29455.79,4044.41,+15.92%,58240
March 2022,25411.39,-2025.24,-7.38%,43824
February 2022,27436.63,-3654.05,-11.75%,47123
January 2022,31090.68,5108.16,+19.66%,52696
December 2021,25982.52,1506.65,+6.16%,44592
November 2021,24475.87,2512.33,+11.44%,45973
October 2021,21963.53,1755.77,+8.69%,39337
September 2021,20207.77,-1276.11,-5.94%,34974
August 2021,21483.87,2361.59,+12.35%,35452
July 2021,19122.29,-99.02,-0.52%,32102
June 2021,19221.30,-2091.97,-9.82%,34348
May 2021,21313.27,1690.69,+8.62%,35936
April 2021,19622.58,-472.73,-2.35%,34882
March 2021,20095.31,-2129.16,-9.58%,34161
February 2021,22224.47,-4111.56,-15.61%,38533
January 2021,26336.03,3524.05,+15.45%,45236
December 2020,22811.98,3449.20,+17.81%,40337
November 2020,19362.78,909.10,+4.93%,33979
October 2020,18453.68,-1441.99,-7.25%,30755
September 2020,19895.67,5916.66,+42.33%,36728
August 2020,13979.00,-360.71,-2.52%,24446
July 2020,14339.71,342.83,+2.45%,23958
June 2020,13996.88,-2332.09,-14.28%,24136
May 2020,16328.97,-1175.31,-6.71%,35397
April 2020,17504.27,1976.85,+12.73%,28096
March 2020,15527.42,-2211.59,-12.47%,27255
February 2020,17739.01,3007.30,+20.41%,40545
January 2020,14731.70,2170.67,+17.28%,25661
December 2019,12561.04,3594.89,+40.09%,24254
November 2019,8966.15,-495.68,-5.24%,16330
October 2019,9461.83,813.60,+9.41%,18461
September 2019,8648.24,-1188.38,-12.08%,16901
August 2019,9836.62,-817.61,-7.67%,18198
July 2019,10654.23,1995.93,+23.05%,18792
June 2019,8658.30,1263.52,+17.09%,16789
May 2019,7394.78,755.62,+11.38%,15139
April 2019,6639.16,1578.33,+31.19%,13118
March 2019,5060.83,198.78,+4.09%,9641
February 2019,4862.05,-1532.61,-23.97%,9872
January 2019,6394.66,-1491.82,-18.92%,13369
December 2018,7886.47,3481.82,+79.05%,29324
November 2018,4404.65,2712.38,+160.28%,12725
October 2018,1692.27,-132.88,-7.28%,3577
September 2018,1825.15,228.42,+14.31%,4460
August 2018,1596.73,-214.44,-11.84%,3292
July 2018,1811.17,-952.60,-34.47%,3681
June 2018,2763.77,531.09,+23.79%,5752
May 2018,2232.68,173.16,+8.41%,6624
April 2018,2059.52,-78.52,-3.67%,4457
March 2018,2138.04,-21.99,-1.02%,4291
February 2018,2160.03,-243.19,-10.12%,4347
January 2018,2403.22,-46.77,-1.91%,4820
December 2017,2449.99,111.29,+4.76%,4733
November 2017,2338.70,-6.53,-0.28%,4822
October 2017,2345.23,49.91,+2.17%,4855
September 2017,2295.32,-314.38,-12.05%,4763
August 2017,2609.70,-697.65,-21.09%,4777
July 2017,3307.35,-1087.94,-24.75%,6587
June 2017,4395.29,1232.96,+38.99%,9354
May 2017,3162.33,-326.93,-9.37%,6776
April 2017,3489.26,-837.14,-19.35%,7406
March 2017,4326.40,-334.69,-7.18%,8933
February 2017,4661.09,-1183.96,-20.26%,9336
January 2017,5845.04,390.87,+7.17%,12926
December 2016,5454.18,664.99,+13.89%,14238
November 2016,4789.18,407.89,+9.31%,9381
October 2016,4381.30,75.52,+1.75%,8757
September 2016,4305.78,-1031.53,-19.33%,8663
August 2016,5337.31,-2665.80,-33.31%,10386
July 2016,8003.11,-2141.27,-21.11%,17818
June 2016,10144.38,4159.51,+69.50%,27880
May 2016,5984.87,697.82,+13.20%,13335
April 2016,5287.04,-706.31,-11.78%,10944
March 2016,5993.36,-1267.10,-17.45%,13218
February 2016,7260.46,-1068.96,-12.83%,13983
January 2016,8329.42,888.95,+11.95%,16423
December 2015,7440.46,3061.72,+69.92%,17740
November 2015,4378.75,-1142.52,-20.69%,9325
October 2015,5521.26,-1368.34,-19.86%,11606
September 2015,6889.60,-1945.99,-22.02%,13017
August 2015,8835.60,-180.94,-2.01%,23967
July 2015,9016.54,216.47,+2.46%,15586
June 2015,8800.07,2275.54,+34.88%,21240
May 2015,6524.53,-2749.83,-29.65%,13104
April 2015,9274.36,-4572.11,-33.02%,25784
March 2015,13846.47,-1160.77,-7.73%,29190
February 2015,15007.24,559.79,+3.87%,29001
January 2015,14447.45,-860.14,-5.62%,29335
December 2014,15307.58,1982.87,+14.88%,29338
November 2014,13324.71,2615.82,+24.43%,28241
