Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,8006.92,1927.83,+31.71%,23461
January 2024,6079.09,-1887.26,-23.69%,11934
December 2023,7966.36,2167.49,+37.38%,13308
November 2023,5798.87,-4684.45,-44.68%,11550
October 2023,10483.32,-5860.96,-35.86%,22361
September 2023,16344.28,9918.17,+154.34%,34085
August 2023,6426.11,-427.36,-6.24%,20998
July 2023,6853.47,-1877.99,-21.51%,12234
June 2023,8731.46,2140.58,+32.48%,16427
May 2023,6590.87,-5127.09,-43.75%,12944
April 2023,11717.96,4322.27,+58.44%,23336
March 2023,7395.69,1905.72,+34.71%,14172
February 2023,5489.98,-907.24,-14.18%,14945
January 2023,6397.22,-1124.82,-14.95%,11366
December 2022,7522.03,733.49,+10.80%,12475
November 2022,6788.54,-2830.16,-29.42%,12319
October 2022,9618.70,1683.28,+21.21%,20349
September 2022,7935.42,-7129.36,-47.32%,16623
August 2022,15064.78,-417.13,-2.69%,32413
July 2022,15481.90,2206.55,+16.62%,40753
June 2022,13275.35,-423.81,-3.09%,27054
May 2022,13699.16,47.64,+0.35%,28487
April 2022,13651.52,7633.21,+126.83%,31870
March 2022,6018.31,-975.77,-13.95%,11008
February 2022,6994.08,973.54,+16.17%,14304
January 2022,6020.54,-1047.79,-14.82%,10741
December 2021,7068.33,717.88,+11.30%,12716
November 2021,6350.45,-2232.14,-26.01%,13102
October 2021,8582.60,-9244.23,-51.86%,17754
September 2021,17826.82,12720.43,+249.11%,38538
August 2021,5106.39,-1502.37,-22.73%,8310
July 2021,6608.76,-2428.11,-26.87%,11719
June 2021,9036.87,2127.42,+30.79%,19792
May 2021,6909.46,-2561.11,-27.04%,13361
April 2021,9470.57,3635.88,+62.31%,20871
March 2021,5834.69,-1170.94,-16.71%,9928
February 2021,7005.63,365.67,+5.51%,15126
January 2021,6639.96,-51.10,-0.76%,12707
December 2020,6691.06,-1796.94,-21.17%,11954
November 2020,8488.00,-3943.63,-31.72%,16326
October 2020,12431.63,3905.62,+45.81%,30502
September 2020,8526.01,1619.51,+23.45%,34739
August 2020,6906.51,-2665.70,-27.85%,14929
July 2020,9572.20,3009.91,+45.87%,21844
June 2020,6562.30,-92.48,-1.39%,11736
May 2020,6654.77,-4608.41,-40.92%,12089
April 2020,11263.19,5343.46,+90.27%,25414
March 2020,5919.73,-781.09,-11.66%,13493
February 2020,6700.82,1430.38,+27.14%,17980
January 2020,5270.44,-32.80,-0.62%,10613
December 2019,5303.24,2478.69,+87.76%,11029
November 2019,2824.54,-1052.57,-27.15%,9918
October 2019,3877.12,-5142.29,-57.01%,8568
September 2019,9019.40,-11585.92,-56.23%,27831
August 2019,20605.32,16815.40,+443.69%,61535
July 2019,3789.93,1114.88,+41.68%,6914
June 2019,2675.05,-311.25,-10.42%,6055
May 2019,2986.30,378.76,+14.53%,7478
April 2019,2607.54,555.77,+27.09%,4971
March 2019,2051.77,-216.82,-9.56%,5892
February 2019,2268.59,-1033.49,-31.30%,4573
January 2019,3302.08,-1428.65,-30.20%,7621
December 2018,4730.73,897.49,+23.41%,9118
November 2018,3833.24,754.36,+24.50%,8569
October 2018,3078.88,-2832.13,-47.91%,6291
September 2018,5911.01,-22171.99,-78.95%,15099
August 2018,28083.00,13528.81,+92.95%,83156
July 2018,14554.19,13518.78,+1305.65%,96954
June 2018,1035.41,252.60,+32.27%,2047
May 2018,782.81,151.38,+23.97%,1942
April 2018,631.43,73.58,+13.19%,1203
March 2018,557.85,-150.31,-21.23%,1047
February 2018,708.16,-222.15,-23.88%,1406
January 2018,930.32,25.02,+2.76%,1938
December 2017,905.30,-27.90,-2.99%,1874
November 2017,933.20,-101.88,-9.84%,1915
October 2017,1035.08,-1111.02,-51.77%,2277
September 2017,2146.10,-2749.36,-56.16%,5733
August 2017,4895.45,4067.98,+491.61%,19017
July 2017,827.48,176.29,+27.07%,1694
June 2017,651.19,89.06,+15.84%,1781
May 2017,562.13,-285.15,-33.66%,1052
April 2017,847.28,-958.61,-53.08%,1869
March 2017,1805.89,1297.89,+255.49%,7023
February 2017,508.00,-361.59,-41.58%,1097
January 2017,869.60,-1275.41,-59.46%,2220
December 2016,2145.01,1244.73,+138.26%,6498
November 2016,900.28,126.15,+16.30%,8090
October 2016,774.14,-2208.66,-74.05%,2172
September 2016,2982.79,-33993.62,-91.93%,9254
August 2016,36976.41,-,-,212321
