Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,22585.17,-5428.17,-19.38%,34875
January 2024,28013.33,1549.23,+5.85%,44568
December 2023,26464.10,-1522.99,-5.44%,41458
November 2023,27987.08,2766.12,+10.97%,47193
October 2023,25220.97,2682.19,+11.90%,45999
September 2023,22538.77,-1519.20,-6.31%,36064
August 2023,24057.98,-4698.15,-16.34%,34810
July 2023,28756.12,5762.33,+25.06%,41075
June 2023,22993.79,-1127.90,-4.68%,34953
May 2023,24121.69,-4641.26,-16.14%,38326
April 2023,28762.96,-1158.62,-3.87%,43895
March 2023,29921.58,-8432.19,-21.99%,46293
February 2023,38353.76,3592.04,+10.33%,59562
January 2023,34761.72,6644.41,+23.63%,52625
December 2022,28117.32,7066.82,+33.57%,48428
November 2022,21050.50,2227.97,+11.84%,37926
October 2022,18822.53,-490.40,-2.54%,33491
September 2022,19312.93,-3668.80,-15.96%,30798
August 2022,22981.73,2559.81,+12.53%,37002
July 2022,20421.92,5436.43,+36.28%,29114
June 2022,14985.48,847.03,+5.99%,25633
May 2022,14138.46,-408.38,-2.81%,21369
April 2022,14546.84,-1181.89,-7.51%,21505
March 2022,15728.74,-8898.60,-36.13%,24407
February 2022,24627.33,-17329.84,-41.30%,42621
January 2022,41957.17,21634.65,+106.46%,65379
December 2021,20322.53,15363.87,+309.84%,53071
November 2021,4958.66,252.85,+5.37%,7306
October 2021,4705.81,-451.80,-8.76%,8001
September 2021,5157.61,26.13,+0.51%,8454
August 2021,5131.48,1555.28,+43.49%,8534
July 2021,3576.20,156.41,+4.57%,5839
June 2021,3419.79,-731.79,-17.63%,5681
May 2021,4151.58,199.31,+5.04%,6782
April 2021,3952.27,1886.97,+91.37%,7069
March 2021,2065.29,272.30,+15.19%,4630
February 2021,1792.99,-251.65,-12.31%,2881
January 2021,2044.64,100.09,+5.15%,3217
December 2020,1944.54,-811.48,-29.44%,3367
November 2020,2756.02,1081.07,+64.54%,5310
October 2020,1674.95,448.71,+36.59%,4816
September 2020,1226.24,-5.89,-0.48%,2024
August 2020,1232.13,54.19,+4.60%,1904
July 2020,1177.94,150.12,+14.61%,2022
June 2020,1027.82,-204.65,-16.60%,1766
May 2020,1232.46,-70.29,-5.40%,2069
April 2020,1302.75,120.23,+10.17%,2018
March 2020,1182.52,109.13,+10.17%,2191
February 2020,1073.39,-137.88,-11.38%,1871
January 2020,1211.27,-352.90,-22.56%,2084
December 2019,1564.18,-52.64,-3.26%,3079
November 2019,1616.82,484.65,+42.81%,3081
October 2019,1132.18,473.49,+71.88%,2588
September 2019,658.68,-192.86,-22.65%,1205
August 2019,851.55,-16.28,-1.88%,1717
July 2019,867.83,139.20,+19.10%,1760
June 2019,728.64,-160.14,-18.02%,1305
May 2019,888.78,134.86,+17.89%,1994
April 2019,753.92,-111.10,-12.84%,1333
March 2019,865.02,233.79,+37.04%,1880
February 2019,631.23,-118.07,-15.76%,1148
January 2019,749.30,52.60,+7.55%,1260
December 2018,696.70,-60.18,-7.95%,1355
November 2018,756.88,115.06,+17.93%,1583
October 2018,641.82,-26.48,-3.96%,1211
September 2018,668.30,-87.12,-11.53%,1234
August 2018,755.42,-428.42,-36.19%,1235
July 2018,1183.84,-258.23,-17.91%,2175
June 2018,1442.07,819.89,+131.77%,3475
May 2018,622.19,23.04,+3.85%,1300
April 2018,599.15,59.58,+11.04%,1088
March 2018,539.57,-21.86,-3.89%,982
February 2018,561.43,-98.68,-14.95%,1131
January 2018,660.11,15.78,+2.45%,1318
December 2017,644.32,41.39,+6.86%,1325
November 2017,602.94,45.14,+8.09%,1338
October 2017,557.79,84.44,+17.84%,1164
September 2017,473.35,-10.87,-2.25%,891
August 2017,484.22,-128.84,-21.02%,799
July 2017,613.06,24.02,+4.08%,1362
June 2017,589.04,14.52,+2.53%,1269
May 2017,574.52,30.90,+5.68%,1031
April 2017,543.62,-14.43,-2.59%,1116
March 2017,558.06,-7.32,-1.29%,1042
February 2017,565.38,-97.15,-14.66%,1013
January 2017,662.53,96.50,+17.05%,1249
December 2016,566.03,59.12,+11.66%,1114
November 2016,506.92,57.22,+12.72%,955
October 2016,449.70,-1.34,-0.30%,887
September 2016,451.04,-46.71,-9.38%,795
August 2016,497.75,-157.91,-24.08%,802
July 2016,655.66,-1.36,-0.21%,1289
June 2016,657.02,-36.85,-5.31%,1377
May 2016,693.86,95.38,+15.94%,1355
April 2016,598.49,-0.66,-0.11%,1185
March 2016,599.14,-26.70,-4.27%,1057
February 2016,625.85,-94.35,-13.10%,1077
January 2016,720.19,161.49,+28.90%,1356
December 2015,558.70,90.79,+19.40%,1204
November 2015,467.91,-62.50,-11.78%,1119
October 2015,530.41,19.00,+3.72%,987
September 2015,511.41,-43.70,-7.87%,926
August 2015,555.11,-85.39,-13.33%,956
July 2015,640.50,-73.57,-10.30%,1165
June 2015,714.07,114.94,+19.18%,1958
May 2015,599.13,78.14,+15.00%,1493
April 2015,520.99,-125.88,-19.46%,1073
March 2015,646.87,83.47,+14.82%,1865
February 2015,563.40,10.59,+1.92%,1659
January 2015,552.81,82.60,+17.57%,1037
December 2014,470.21,76.12,+19.32%,1121
November 2014,394.09,-133.52,-25.31%,771
October 2014,527.61,255.69,+94.03%,1468
September 2014,271.92,-45.58,-14.36%,506
August 2014,317.50,-124.76,-28.21%,575
July 2014,442.26,-204.02,-31.57%,821
June 2014,646.28,182.68,+39.41%,2658
May 2014,463.59,82.87,+21.77%,1142
April 2014,380.72,-298.56,-43.95%,845
March 2014,679.28,339.24,+99.77%,1871
February 2014,340.04,123.60,+57.10%,1139
January 2014,216.44,-20.40,-8.61%,416
December 2013,236.84,-174.83,-42.47%,603
November 2013,411.67,-,-,1021
