Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,82116.29,-7948.99,-8.83%,153738
January 2024,90065.28,6048.60,+7.20%,190886
December 2023,84016.68,15003.98,+21.74%,143038
November 2023,69012.70,-343.07,-0.49%,137752
October 2023,69355.77,63.32,+0.09%,130885
September 2023,69292.44,-14171.29,-16.98%,127530
August 2023,83463.73,-12181.77,-12.74%,172249
July 2023,95645.50,3720.85,+4.05%,182335
June 2023,91924.65,4175.54,+4.76%,161921
May 2023,87749.11,5212.03,+6.31%,155431
April 2023,82537.08,-1858.85,-2.20%,156367
March 2023,84395.94,-5609.34,-6.23%,150953
February 2023,90005.28,-5268.14,-5.53%,167827
January 2023,95273.42,9456.98,+11.02%,176710
December 2022,85816.44,12979.60,+17.82%,138675
November 2022,72836.84,854.39,+1.19%,133364
October 2022,71982.45,-4189.69,-5.50%,118874
September 2022,76172.14,-6891.84,-8.30%,127912
August 2022,83063.98,4222.79,+5.36%,134919
July 2022,78841.19,-3145.65,-3.84%,137057
June 2022,81986.84,9056.45,+12.42%,165120
May 2022,72930.39,-7785.44,-9.65%,133789
April 2022,80715.83,3368.17,+4.35%,141983
March 2022,77347.66,-9218.91,-10.65%,134559
February 2022,86566.57,-4364.89,-4.80%,164990
January 2022,90931.46,15327.35,+20.27%,154747
December 2021,75604.11,5954.05,+8.55%,125911
November 2021,69650.06,4093.06,+6.24%,120659
October 2021,65556.99,-3946.00,-5.68%,106571
September 2021,69502.99,-13829.21,-16.60%,122359
August 2021,83332.20,-9491.59,-10.23%,155634
July 2021,92823.79,13482.28,+16.99%,147757
June 2021,79341.51,2470.90,+3.21%,133566
May 2021,76870.61,-719.63,-0.93%,144083
April 2021,77590.25,-8779.57,-10.17%,147933
March 2021,86369.82,-31372.45,-26.65%,167088
February 2021,117742.27,-24374.98,-17.15%,224276
January 2021,142117.25,80945.60,+132.33%,244394
December 2020,61171.65,5763.61,+10.40%,97445
November 2020,55408.03,6857.23,+14.12%,101365
October 2020,48550.80,2120.27,+4.57%,80422
September 2020,46430.53,-6857.11,-12.87%,76611
August 2020,53287.65,-4951.07,-8.50%,89147
July 2020,58238.72,7821.00,+15.51%,97741
June 2020,50417.72,-6926.93,-12.08%,93513
May 2020,57344.65,-10159.40,-15.05%,102051
April 2020,67504.05,9062.03,+15.51%,125415
March 2020,58442.03,8366.82,+16.71%,102296
February 2020,50075.20,-1545.19,-2.99%,92016
January 2020,51620.39,2525.55,+5.14%,97340
December 2019,49094.84,5586.88,+12.84%,81928
November 2019,43507.96,-3196.42,-6.84%,74292
October 2019,46704.38,-2931.73,-5.91%,82827
September 2019,49636.12,-8895.12,-15.20%,80293
August 2019,58531.24,-3728.72,-5.99%,88929
