Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,12848.70,-2840.25,-18.10%,23753
January 2024,15688.95,551.69,+3.64%,29472
December 2023,15137.26,2259.84,+17.55%,31461
November 2023,12877.42,-573.62,-4.26%,23721
October 2023,13451.05,343.51,+2.62%,27227
September 2023,13107.54,-3123.91,-19.25%,24710
August 2023,16231.44,4918.32,+43.47%,32969
July 2023,11313.12,-935.23,-7.64%,21162
June 2023,12248.35,119.29,+0.98%,23907
May 2023,12129.06,3098.94,+34.32%,26562
April 2023,9030.12,38.90,+0.43%,16780
March 2023,8991.22,-1123.67,-11.11%,16924
February 2023,10114.89,-1612.95,-13.75%,19180
January 2023,11727.85,-1733.78,-12.88%,21147
December 2022,13461.63,4240.36,+45.98%,27515
November 2022,9221.27,-167.83,-1.79%,21094
October 2022,9389.09,1006.85,+12.01%,17472
September 2022,8382.24,902.34,+12.06%,19911
August 2022,7479.90,-1003.94,-11.83%,13804
July 2022,8483.84,-32.69,-0.38%,15668
June 2022,8516.53,-2390.28,-21.92%,16653
May 2022,10906.81,-2462.88,-18.42%,20714
April 2022,13369.70,806.19,+6.42%,25523
March 2022,12563.51,3991.34,+46.56%,30468
February 2022,8572.17,-802.99,-8.57%,16091
January 2022,9375.16,1335.90,+16.62%,16126
December 2021,8039.26,-899.79,-10.07%,15108
November 2021,8939.06,-1005.22,-10.11%,16632
October 2021,9944.27,-2127.36,-17.62%,19716
September 2021,12071.63,23.66,+0.20%,22321
August 2021,12047.97,2583.39,+27.30%,28376
July 2021,9464.59,1226.43,+14.89%,20894
June 2021,8238.16,-2037.68,-19.83%,15441
May 2021,10275.83,-2804.59,-21.44%,21728
April 2021,13080.42,4577.52,+53.83%,24540
March 2021,8502.91,1541.61,+22.15%,15257
February 2021,6961.30,1267.86,+22.27%,11513
January 2021,5693.44,1723.91,+43.43%,10402
December 2020,3969.53,48.44,+1.24%,7009
November 2020,3921.09,188.69,+5.06%,7439
October 2020,3732.40,-145.57,-3.75%,6852
September 2020,3877.97,262.20,+7.25%,7260
August 2020,3615.77,1069.93,+42.03%,6498
July 2020,2545.85,351.78,+16.03%,6856
June 2020,2194.07,-749.50,-25.46%,3814
May 2020,2943.57,-124.58,-4.06%,5261
April 2020,3068.15,231.10,+8.15%,5115
March 2020,2837.06,-155.49,-5.20%,5168
February 2020,2992.54,-182.32,-5.74%,5186
January 2020,3174.86,329.72,+11.59%,5950
December 2019,2845.14,274.56,+10.68%,6479
November 2019,2570.57,-162.50,-5.95%,4818
October 2019,2733.07,-413.31,-13.14%,5073
September 2019,3146.38,-146.38,-4.45%,6537
August 2019,3292.76,-636.19,-16.19%,5908
July 2019,3928.95,1160.38,+41.91%,7255
June 2019,2768.57,849.50,+44.27%,7263
May 2019,1919.06,69.75,+3.77%,4020
April 2019,1849.31,307.43,+19.94%,4690
March 2019,1541.88,-77.05,-4.76%,2967
February 2019,1618.93,-509.79,-23.95%,2987
January 2019,2128.72,-330.25,-13.43%,4315
December 2018,2458.96,-44.39,-1.77%,5110
November 2018,2503.35,-1984.52,-44.22%,6291
October 2018,4487.87,-14246.23,-76.04%,10152
September 2018,18734.10,18733.00,+1698627.43%,68031
March 2018,1.10,0.41,+58.83%,14
February 2018,0.69,0.66,+2181.46%,10
January 2018,0.03,0.02,+393.04%,1
December 2017,0.01,-0.10,-94.32%,1
November 2017,0.11,0.10,+813.04%,2
October 2017,0.01,-0.00,-22.62%,1
September 2017,0.02,-0.00,-8.21%,1
August 2017,0.02,-0.11,-86.94%,1
July 2017,0.13,0.07,+114.91%,8
June 2017,0.06,0.02,+34.50%,1
May 2017,0.04,-0.01,-22.60%,2
January 2017,0.06,0.05,+1236.20%,5
December 2016,0.00,-,-,1
