Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,11038.05,3381.09,+44.16%,53964
January 2024,7656.96,-446.73,-5.51%,17076
December 2023,8103.69,-6.92,-0.09%,16612
November 2023,8110.61,788.91,+10.77%,17207
October 2023,7321.70,1738.63,+31.14%,17680
September 2023,5583.07,-1134.38,-16.89%,11412
August 2023,6717.45,-3898.53,-36.72%,13079
July 2023,10615.98,4214.45,+65.84%,20007
June 2023,6401.53,-962.92,-13.08%,14020
May 2023,7364.45,-6674.78,-47.54%,14888
April 2023,14039.23,-47656.26,-77.24%,34781
March 2023,61695.49,-,-,198477
