Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,4012.69,605.60,+17.77%,8992
January 2024,3407.08,-27.21,-0.79%,6477
December 2023,3434.29,149.05,+4.54%,6658
November 2023,3285.24,769.12,+30.57%,8368
October 2023,2516.12,-223.57,-8.16%,5322
September 2023,2739.69,-825.10,-23.15%,5918
August 2023,3564.80,-2654.05,-42.68%,6365
July 2023,6218.85,3468.56,+126.12%,10713
June 2023,2750.28,-1188.84,-30.18%,6242
May 2023,3939.12,635.27,+19.23%,9926
April 2023,3303.86,-1176.88,-26.27%,6101
March 2023,4480.74,392.49,+9.60%,9923
February 2023,4088.25,-2088.07,-33.81%,8869
January 2023,6176.32,1659.92,+36.75%,13223
December 2022,4516.40,1945.00,+75.64%,9539
November 2022,2571.40,568.52,+28.39%,5814
October 2022,2002.88,-475.01,-19.17%,3744
September 2022,2477.89,-479.22,-16.21%,5363
August 2022,2957.11,-137.60,-4.45%,6059
July 2022,3094.71,456.74,+17.31%,5323
June 2022,2637.97,-742.46,-21.96%,4621
May 2022,3380.43,1009.61,+42.58%,8912
April 2022,2370.82,298.23,+14.39%,3957
March 2022,2072.59,-692.96,-25.06%,3552
February 2022,2765.55,-685.97,-19.87%,5162
January 2022,3451.52,618.35,+21.83%,6132
December 2021,2833.17,474.69,+20.13%,5347
November 2021,2358.48,-508.84,-17.75%,4972
October 2021,2867.33,1052.46,+57.99%,7021
September 2021,1814.86,-473.26,-20.68%,3164
August 2021,2288.13,-1098.93,-32.45%,3607
July 2021,3387.06,86.49,+2.62%,6612
June 2021,3300.57,-960.62,-22.54%,6376
May 2021,4261.19,1308.12,+44.30%,9091
April 2021,2953.07,381.77,+14.85%,5014
March 2021,2571.31,-467.78,-15.39%,4388
February 2021,3039.09,-1040.61,-25.51%,4937
January 2021,4079.69,1063.35,+35.25%,6876
December 2020,3016.35,254.68,+9.22%,6384
November 2020,2761.67,537.57,+24.17%,4950
October 2020,2224.10,-185.22,-7.69%,4427
September 2020,2409.32,-540.32,-18.32%,4012
August 2020,2949.65,-227.94,-7.17%,4636
July 2020,3177.59,555.80,+21.20%,5472
June 2020,2621.78,-653.83,-19.96%,4605
May 2020,3275.61,-1478.65,-31.10%,5566
April 2020,4754.26,1262.70,+36.16%,8482
March 2020,3491.55,318.41,+10.03%,7918
February 2020,3173.15,118.96,+3.90%,5648
January 2020,3054.18,269.48,+9.68%,5433
December 2019,2784.70,948.46,+51.65%,5211
November 2019,1836.24,176.44,+10.63%,3639
October 2019,1659.80,-122.54,-6.88%,3044
September 2019,1782.35,-421.66,-19.13%,3248
August 2019,2204.01,-364.84,-14.20%,3551
July 2019,2568.85,389.47,+17.87%,4231
June 2019,2179.38,400.89,+22.54%,3854
May 2019,1778.50,-458.45,-20.49%,3334
April 2019,2236.95,-920.28,-29.15%,5181
March 2019,3157.23,-3741.15,-54.23%,7248
February 2019,6898.38,1699.60,+32.69%,19035
January 2019,5198.78,1420.49,+37.60%,9338
December 2018,3778.30,1303.48,+52.67%,8980
November 2018,2474.82,122.24,+5.20%,5664
October 2018,2352.58,-121.03,-4.89%,4461
September 2018,2473.61,-237.12,-8.75%,4646
August 2018,2710.72,-1130.32,-29.43%,4445
July 2018,3841.05,-698.23,-15.38%,6579
June 2018,4539.27,1588.54,+53.84%,10093
May 2018,2950.74,-1121.52,-27.54%,5296
April 2018,4072.26,-3318.84,-44.90%,8572
March 2018,7391.09,-9931.34,-57.33%,16615
February 2018,17322.44,6749.26,+63.83%,44646
January 2018,10573.18,7746.76,+274.08%,50876
December 2017,2826.41,1056.33,+59.68%,5526
November 2017,1770.08,-95.98,-5.14%,3600
October 2017,1866.06,-335.52,-15.24%,4019
September 2017,2201.58,-64.08,-2.83%,4514
August 2017,2265.65,-1017.13,-30.98%,4648
July 2017,3282.78,516.07,+18.65%,7016
June 2017,2766.71,125.74,+4.76%,7105
May 2017,2640.97,172.29,+6.98%,5090
April 2017,2468.68,60.30,+2.50%,6434
March 2017,2408.37,-350.05,-12.69%,6242
February 2017,2758.42,-1248.64,-31.16%,5279
January 2017,4007.06,872.76,+27.85%,8736
December 2016,3134.30,1689.84,+116.99%,8589
November 2016,1444.46,9.32,+0.65%,3958
October 2016,1435.14,-514.88,-26.40%,3246
September 2016,1950.02,-195.49,-9.11%,4174
August 2016,2145.51,-412.63,-16.13%,6543
July 2016,2558.14,-62.18,-2.37%,6988
June 2016,2620.32,688.27,+35.62%,7452
May 2016,1932.06,245.60,+14.56%,4391
April 2016,1686.46,-691.05,-29.07%,3996
March 2016,2377.51,823.13,+52.96%,6371
February 2016,1554.38,21.45,+1.40%,4137
January 2016,1532.92,886.46,+137.13%,3339
December 2015,646.46,292.50,+82.63%,2334
November 2015,353.96,21.08,+6.33%,971
October 2015,332.89,-134.84,-28.83%,694
September 2015,467.73,-307.39,-39.66%,1200
August 2015,775.12,406.79,+110.44%,1727
July 2015,368.33,-63.22,-14.65%,900
June 2015,431.55,-55.52,-11.40%,842
May 2015,487.07,25.67,+5.56%,1370
April 2015,461.40,143.76,+45.26%,1249
March 2015,317.63,243.11,+326.24%,1191
February 2015,74.52,46.47,+165.64%,220
January 2015,28.05,12.62,+81.82%,105
December 2014,15.43,12.39,+407.49%,69
November 2014,3.04,1.50,+97.72%,16
October 2014,1.54,1.39,+956.45%,25
September 2014,0.15,0.08,+114.83%,3
August 2014,0.07,-0.10,-59.07%,1
July 2014,0.17,0.15,+740.00%,3
June 2014,0.02,-0.03,-59.95%,2
May 2014,0.05,-0.31,-86.20%,1
April 2014,0.36,0.32,+767.67%,11
March 2014,0.04,-,-,2
