Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,25216.02,-7710.78,-23.42%,41641
January 2024,32926.80,2635.74,+8.70%,54281
December 2023,30291.06,57.18,+0.19%,57589
November 2023,30233.88,-2939.51,-8.86%,59965
October 2023,33173.39,1412.71,+4.45%,60412
September 2023,31760.67,-4050.02,-11.31%,63954
August 2023,35810.69,-9694.23,-21.30%,53700
July 2023,45504.92,13488.88,+42.13%,68151
June 2023,32016.04,2133.17,+7.14%,47246
May 2023,29882.86,-4921.32,-14.14%,47609
April 2023,34804.18,2391.51,+7.38%,57857
March 2023,32412.67,416.91,+1.30%,60408
February 2023,31995.76,-7422.79,-18.83%,50167
January 2023,39418.54,2875.96,+7.87%,61425
December 2022,36542.58,-3492.87,-8.72%,62255
November 2022,40035.46,-20763.49,-34.15%,70589
October 2022,60798.95,35358.76,+138.99%,115029
September 2022,25440.19,-3975.08,-13.51%,71258
August 2022,29415.27,-6407.97,-17.89%,41392
July 2022,35823.23,4989.21,+16.18%,50902
June 2022,30834.02,2708.65,+9.63%,45395
May 2022,28125.37,1468.60,+5.51%,45021
April 2022,26656.77,-970.41,-3.51%,44767
March 2022,27627.19,-5776.76,-17.29%,44948
February 2022,33403.95,-6736.59,-16.78%,57046
January 2022,40140.54,1731.76,+4.51%,59635
December 2021,38408.77,77.81,+0.20%,73393
November 2021,38330.96,9623.40,+33.52%,84258
October 2021,28707.56,3473.20,+13.76%,63430
September 2021,25234.37,-4960.93,-16.43%,45520
August 2021,30195.30,-895.34,-2.88%,42367
July 2021,31090.64,-597.62,-1.89%,42378
June 2021,31688.26,-1331.65,-4.03%,49750
May 2021,33019.91,5021.27,+17.93%,55027
April 2021,27998.64,-1779.92,-5.98%,44708
March 2021,29778.55,-7757.20,-20.67%,45035
February 2021,37535.76,3490.46,+10.25%,55078
January 2021,34045.30,5187.03,+17.97%,47087
December 2020,28858.27,-1907.25,-6.20%,43285
November 2020,30765.52,3940.52,+14.69%,45815
October 2020,26825.01,5181.65,+23.94%,48712
September 2020,21643.36,-7004.22,-24.45%,33696
August 2020,28647.58,-12181.26,-29.83%,40187
July 2020,40828.84,-34975.04,-46.14%,62269
June 2020,75803.88,-54004.75,-41.60%,157919
May 2020,129808.62,78493.53,+152.96%,486918
April 2020,51315.09,20321.57,+65.57%,72280
March 2020,30993.52,3182.51,+11.44%,48542
February 2020,27811.01,-1703.28,-5.77%,42862
January 2020,29514.30,-6072.84,-17.06%,49672
December 2019,35587.14,14576.17,+69.37%,57927
November 2019,21010.96,5861.93,+38.70%,53380
October 2019,15149.03,-825.25,-5.17%,25955
September 2019,15974.28,-4467.58,-21.86%,26791
August 2019,20441.87,-5466.60,-21.10%,27917
July 2019,25908.47,1883.89,+7.84%,35010
June 2019,24024.57,3863.75,+19.16%,35123
May 2019,20160.82,399.98,+2.02%,34594
April 2019,19760.84,2285.52,+13.08%,35231
March 2019,17475.32,-2875.15,-14.13%,28659
February 2019,20350.48,-4298.68,-17.44%,34169
January 2019,24649.15,6872.72,+38.66%,39437
December 2018,17776.43,2140.48,+13.69%,31424
November 2018,15635.95,736.80,+4.95%,28050
October 2018,14899.15,214.36,+1.46%,26054
September 2018,14684.79,-3250.37,-18.12%,25303
August 2018,17935.16,-5144.47,-22.29%,25523
July 2018,23079.63,2997.49,+14.93%,31403
June 2018,20082.14,2140.04,+11.93%,30003
May 2018,17942.10,-49.73,-0.28%,30276
April 2018,17991.83,108.03,+0.60%,31058
March 2018,17883.80,-583.25,-3.16%,29904
February 2018,18467.05,-2220.92,-10.74%,29858
January 2018,20687.97,1101.92,+5.63%,34396
December 2017,19586.05,2955.38,+17.77%,33063
November 2017,16630.67,357.84,+2.20%,29128
October 2017,16272.83,-16.22,-0.10%,29120
September 2017,16289.05,-3299.31,-16.84%,27568
August 2017,19588.36,-3824.73,-16.34%,28218
July 2017,23413.09,3808.56,+19.43%,31959
June 2017,19604.53,2496.16,+14.59%,30594
May 2017,17108.37,109.98,+0.65%,29192
April 2017,16998.39,2046.54,+13.69%,31152
March 2017,14951.85,-1451.28,-8.85%,26626
February 2017,16403.13,-3022.26,-15.56%,27644
January 2017,19425.38,110.08,+0.57%,34214
December 2016,19315.30,2169.81,+12.66%,32543
November 2016,17145.48,3780.94,+28.29%,36926
October 2016,13364.55,604.44,+4.74%,23776
September 2016,12760.10,-2329.72,-15.44%,24473
August 2016,15089.83,-4723.78,-23.84%,22057
July 2016,19813.61,1004.73,+5.34%,33051
June 2016,18808.88,4090.75,+27.79%,30486
May 2016,14718.13,767.12,+5.50%,30112
April 2016,13951.01,-574.51,-3.96%,25034
March 2016,14525.52,-1007.86,-6.49%,25409
February 2016,15533.39,-5391.61,-25.77%,26573
January 2016,20924.99,1390.62,+7.12%,39425
December 2015,19534.38,5425.43,+38.45%,37821
November 2015,14108.95,-1457.50,-9.36%,28867
October 2015,15566.45,-2100.67,-11.89%,28621
September 2015,17667.13,-11516.00,-39.46%,33538
August 2015,29183.13,-42949.46,-59.54%,54486
July 2015,72132.59,58951.85,+447.26%,149316
June 2015,13180.73,4622.96,+54.02%,158947
May 2015,8557.78,502.23,+6.23%,15021
April 2015,8055.54,-131.54,-1.61%,14185
March 2015,8187.08,-1298.67,-13.69%,15502
February 2015,9485.75,-2858.77,-23.16%,16831
January 2015,12344.52,-1268.12,-9.32%,26016
December 2014,13612.64,5003.72,+58.12%,27255
November 2014,8608.92,-442.56,-4.89%,22395
October 2014,9051.48,-973.97,-9.72%,16597
September 2014,10025.46,533.81,+5.62%,20721
August 2014,9491.65,-4530.99,-32.31%,14455
July 2014,14022.64,317.67,+2.32%,28048
June 2014,13704.97,2589.03,+23.29%,32249
May 2014,11115.93,4676.99,+72.64%,26328
April 2014,6438.95,-774.59,-10.74%,11069
March 2014,7213.54,-1182.58,-14.08%,14336
