Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,18553.29,-8395.27,-31.15%,41346
January 2024,26948.56,3072.71,+12.87%,54453
December 2023,23875.85,3983.80,+20.03%,47942
November 2023,19892.04,1882.79,+10.45%,43967
October 2023,18009.26,403.78,+2.29%,34956
September 2023,17605.48,2153.45,+13.94%,35556
August 2023,15452.03,-3145.74,-16.91%,32946
July 2023,18597.77,3651.66,+24.43%,34558
June 2023,14946.11,-4450.37,-22.94%,29488
May 2023,19396.48,-6124.65,-24.00%,40346
April 2023,25521.14,-1501.10,-5.56%,52694
March 2023,27022.24,-7027.38,-20.64%,55962
February 2023,34049.62,-17172.97,-33.53%,76747
January 2023,51222.59,-5152.47,-9.14%,102613
December 2022,56375.06,38498.08,+215.35%,127172
November 2022,17876.99,5180.97,+40.81%,62079
October 2022,12696.01,-61.62,-0.48%,24562
September 2022,12757.63,-526.54,-3.96%,24612
August 2022,13284.17,-2261.30,-14.55%,24376
July 2022,15545.47,697.29,+4.70%,27981
June 2022,14848.18,-3829.41,-20.50%,28351
May 2022,18677.60,251.05,+1.36%,34436
April 2022,18426.55,-2535.35,-12.10%,36169
March 2022,20961.90,-4547.02,-17.83%,43527
February 2022,25508.92,-4551.64,-15.14%,55169
January 2022,30060.57,8809.50,+41.45%,55608
December 2021,21251.07,3702.80,+21.10%,43305
November 2021,17548.27,-8041.12,-31.42%,37110
October 2021,25589.39,-7398.77,-22.43%,61020
September 2021,32988.16,15662.25,+90.40%,109793
August 2021,17325.91,-1160.12,-6.28%,29764
July 2021,18486.03,-1712.44,-8.48%,33476
June 2021,20198.47,-14691.69,-42.11%,37931
May 2021,34890.17,-34476.85,-49.70%,80466
April 2021,69367.02,-109068.42,-61.12%,159037
March 2021,178435.44,-31866.80,-15.15%,405826
February 2021,210302.24,-,-,498478
