Month|Avg. Players|Gain|% Gain|Peak Players|Source File
March 2024|8.57|1.53|+21.81%|40|Battlerite Royale
February 2024|7.04|-0.42|-5.58%|20|Battlerite Royale
January 2024|7.45|0.12|+1.62%|23|Battlerite Royale
December 2023|7.33|-4.26|-36.74%|38|Battlerite Royale
November 2023|11.59|-0.19|-1.64%|44|Battlerite Royale
October 2023|11.79|2.02|+20.74%|37|Battlerite Royale
September 2023|9.76|-0.72|-6.86%|28|Battlerite Royale
August 2023|10.48|-6.41|-37.95%|27|Battlerite Royale
July 2023|16.89|4.63|+37.78%|72|Battlerite Royale
June 2023|12.26|1.04|+9.23%|39|Battlerite Royale
May 2023|11.22|0.02|+0.21%|29|Battlerite Royale
April 2023|11.2|0.80|+7.71%|31|Battlerite Royale
March 2023|10.4|-1.62|-13.48%|28|Battlerite Royale
February 2023|12.02|-2.13|-15.07%|35|Battlerite Royale
January 2023|14.15|-2.28|-13.90%|55|Battlerite Royale
December 2022|16.43|3.24|+24.53%|46|Battlerite Royale
November 2022|13.2|-0.95|-6.75%|87|Battlerite Royale
October 2022|14.15|-1.12|-7.34%|46|Battlerite Royale
September 2022|15.27|0.09|+0.60%|49|Battlerite Royale
August 2022|15.18|-4.03|-20.99%|38|Battlerite Royale
July 2022|19.21|-1.28|-6.26%|45|Battlerite Royale
June 2022|20.5|-1.89|-8.42%|51|Battlerite Royale
May 2022|22.38|-2.03|-8.30%|60|Battlerite Royale
April 2022|24.41|2.23|+10.07%|75|Battlerite Royale
March 2022|22.17|-1.04|-4.47%|57|Battlerite Royale
February 2022|23.21|-4.72|-16.91%|50|Battlerite Royale
January 2022|27.94|1.66|+6.33%|66|Battlerite Royale
December 2021|26.27|-3.14|-10.68%|67|Battlerite Royale
November 2021|29.42|-1.36|-4.41%|70|Battlerite Royale
October 2021|30.77|-10.50|-25.44%|76|Battlerite Royale
September 2021|41.27|-0.68|-1.61%|105|Battlerite Royale
August 2021|41.94|-7.26|-14.76%|95|Battlerite Royale
July 2021|49.21|-29.46|-37.45%|120|Battlerite Royale
June 2021|78.66|7.27|+10.19%|415|Battlerite Royale
May 2021|71.39|-23.37|-24.66%|187|Battlerite Royale
April 2021|94.76|40.25|+73.84%|361|Battlerite Royale
March 2021|54.51|0.66|+1.23%|121|Battlerite Royale
February 2021|53.85|-11.03|-17.00%|115|Battlerite Royale
January 2021|64.88|-5.28|-7.53%|149|Battlerite Royale
December 2020|70.16|-5.77|-7.60%|159|Battlerite Royale
November 2020|75.93|8.39|+12.42%|170|Battlerite Royale
October 2020|67.55|-45.11|-40.04%|139|Battlerite Royale
September 2020|112.65|-28.88|-20.41%|251|Battlerite Royale
August 2020|141.53|-80.94|-36.38%|313|Battlerite Royale
July 2020|222.48|109.60|+97.10%|707|Battlerite Royale
June 2020|112.88|-14.39|-11.31%|390|Battlerite Royale
May 2020|127.27|-28.53|-18.31%|283|Battlerite Royale
April 2020|155.8|7.44|+5.01%|281|Battlerite Royale
March 2020|148.37|9.47|+6.82%|312|Battlerite Royale
February 2020|138.9|0.10|+0.07%|304|Battlerite Royale
January 2020|138.8|-17.59|-11.25%|320|Battlerite Royale
December 2019|156.38|12.24|+8.49%|321|Battlerite Royale
November 2019|144.14|-1.99|-1.36%|277|Battlerite Royale
October 2019|146.13|11.29|+8.37%|286|Battlerite Royale
September 2019|134.84|-0.82|-0.60%|307|Battlerite Royale
August 2019|135.66|19.29|+16.58%|238|Battlerite Royale
July 2019|116.36|34.37|+41.92%|207|Battlerite Royale
June 2019|81.99|-33.32|-28.89%|247|Battlerite Royale
May 2019|115.31|-88.63|-43.46%|344|Battlerite Royale
April 2019|203.95|-310.42|-60.35%|548|Battlerite Royale
March 2019|514.37|-9.77|-1.86%|1434|Battlerite Royale
February 2019|524.14|218.55|+71.52%|2975|Battlerite Royale
