Month|Avg. Players|Gain|% Gain|Peak Players|Source File
March 2024|7674.04|-414.91|-5.13%|12514|Albion Online
February 2024|8088.95|-234.04|-2.81%|12513|Albion Online
January 2024|8322.99|455.46|+5.79%|12833|Albion Online
December 2023|7867.53|-666.00|-7.80%|12232|Albion Online
November 2023|8533.53|-204.69|-2.34%|13362|Albion Online
October 2023|8738.22|656.02|+8.12%|14439|Albion Online
September 2023|8082.2|-958.56|-10.60%|13050|Albion Online
August 2023|9040.76|-1214.19|-11.84%|14372|Albion Online
July 2023|10254.95|-2179.90|-17.53%|16031|Albion Online
June 2023|12434.86|-2541.48|-16.97%|21600|Albion Online
May 2023|14976.34|-1168.67|-7.24%|24696|Albion Online
April 2023|16145.01|6666.21|+70.33%|26041|Albion Online
March 2023|9478.8|3936.58|+71.03%|24942|Albion Online
February 2023|5542.22|-211.13|-3.67%|9071|Albion Online
January 2023|5753.35|-312.10|-5.15%|8748|Albion Online
December 2022|6065.44|-13.91|-0.23%|10124|Albion Online
November 2022|6079.35|109.02|+1.83%|10903|Albion Online
October 2022|5970.33|-120.05|-1.97%|9650|Albion Online
September 2022|6090.38|-374.25|-5.79%|10005|Albion Online
August 2022|6464.62|-257.31|-3.83%|9487|Albion Online
July 2022|6721.93|119.58|+1.81%|9881|Albion Online
June 2022|6602.36|606.54|+10.12%|10445|Albion Online
May 2022|5995.82|-140.18|-2.28%|9420|Albion Online
April 2022|6135.99|608.77|+11.01%|9822|Albion Online
March 2022|5527.22|-158.33|-2.78%|9195|Albion Online
February 2022|5685.55|-507.89|-8.20%|8839|Albion Online
January 2022|6193.44|418.90|+7.25%|9643|Albion Online
December 2021|5774.54|317.84|+5.82%|8944|Albion Online
November 2021|5456.7|-165.70|-2.95%|10298|Albion Online
October 2021|5622.4|-1054.29|-15.79%|9444|Albion Online
September 2021|6676.69|-1169.75|-14.91%|10718|Albion Online
August 2021|7846.44|-289.89|-3.56%|11558|Albion Online
July 2021|8136.33|-343.83|-4.05%|11732|Albion Online
June 2021|8480.16|312.92|+3.83%|12568|Albion Online
May 2021|8167.24|-227.51|-2.71%|11716|Albion Online
April 2021|8394.75|-56.96|-0.67%|12383|Albion Online
March 2021|8451.71|426.65|+5.32%|12918|Albion Online
February 2021|8025.07|745.03|+10.23%|12360|Albion Online
January 2021|7280.04|186.60|+2.63%|12394|Albion Online
December 2020|7093.44|-674.27|-8.68%|11038|Albion Online
November 2020|7767.72|-453.84|-5.52%|12254|Albion Online
October 2020|8221.55|-626.07|-7.08%|12436|Albion Online
September 2020|8847.63|1703.53|+23.85%|13118|Albion Online
August 2020|7144.1|1234.67|+20.89%|11595|Albion Online
July 2020|5909.43|27.95|+0.48%|8899|Albion Online
June 2020|5881.48|-1304.71|-18.16%|8863|Albion Online
May 2020|7186.19|211.94|+3.04%|10990|Albion Online
April 2020|6974.26|2220.75|+46.72%|10616|Albion Online
