Month|Avg. Players|Gain|% Gain|Peak Players|Source File
February 2024 |46.1|-9.9|-17.66|152|BioShock
January 2024 |56.0|12.2|27.78|126|BioShock
December 2023 |43.8|-8.1|-15.52|99|BioShock
November 2023 |51.9|9.9|23.47|117|BioShock
October 2023 |42.0|0.6|1.48|127|BioShock
September 2023 |41.4|2.2|5.56|122|BioShock
August 2023 |39.2|-13.8|-26.08|88|BioShock
July 2023 |53.1|6.4|13.75|108|BioShock
June 2023 |46.6|2.7|6.05|97|BioShock
May 2023 |44.0|-14.0|-24.1|87|BioShock
April 2023 |58.0|3.1|5.71|131|BioShock
March 2023 |54.8|-5.8|-9.52|132|BioShock
February 2023 |60.6|1.5|2.59|159|BioShock
January 2023 |59.1|9.2|18.37|135|BioShock
December 2022 |49.9|-0.8|-1.56|99|BioShock
November 2022 |50.7|7.8|18.09|107|BioShock
October 2022 |42.9|-4.6|-9.71|106|BioShock
September 2022 |47.5|-10.1|-17.55|98|BioShock
August 2022 |57.7|4.1|7.71|129|BioShock
July 2022 |53.5|-4.4|-7.66|120|BioShock
June 2022 |58.0|-8.8|-13.11|118|BioShock
May 2022 |66.7|9.3|16.17|134|BioShock
April 2022 |57.4|-11.6|-16.84|129|BioShock
March 2022 |69.1|-20.9|-23.2|140|BioShock
February 2022 |89.9|-12.1|-11.85|186|BioShock
January 2022 |102.0|30.8|43.28|220|BioShock
December 2021 |71.2|-9.9|-12.18|144|BioShock
November 2021 |81.1|22.1|37.46|184|BioShock
October 2021 |59.0|-46.6|-44.15|118|BioShock
September 2021 |105.6|43.7|70.65|265|BioShock
August 2021 |61.9|-42.1|-40.51|140|BioShock
July 2021 |104.0|38.3|58.24|201|BioShock
June 2021 |65.7|-34.3|-34.28|140|BioShock
May 2021 |100.0|39.4|65.0|217|BioShock
April 2021 |60.6|-54.5|-47.33|134|BioShock
March 2021 |115.1|-5.5|-4.56|265|BioShock
February 2021 |120.6|43.9|57.14|310|BioShock
January 2021 |76.8|-6.6|-7.96|188|BioShock
December 2020 |83.4|12.6|17.87|174|BioShock
November 2020 |70.8|-16.2|-18.64|183|BioShock
October 2020 |87.0|26.5|43.86|184|BioShock
September 2020 |60.5|-29.9|-33.12|121|BioShock
August 2020 |90.4|-42.6|-32.06|199|BioShock
July 2020 |133.0|54.4|69.27|239|BioShock
June 2020 |78.6|7.0|9.78|241|BioShock
May 2020 |71.6|-21.2|-22.84|135|BioShock
April 2020 |92.8|-31.5|-25.33|183|BioShock
March 2020 |124.3|51.7|71.32|380|BioShock
February 2020 |72.5|0.1|0.18|173|BioShock
January 2020 |72.4|-6.0|-7.62|173|BioShock
December 2019 |78.4|0.3|0.35|177|BioShock
November 2019 |78.1|37.1|90.49|200|BioShock
October 2019 |41.0|-23.4|-36.34|83|BioShock
September 2019 |64.4|16.7|34.98|158|BioShock
August 2019 |47.7|-22.8|-32.37|97|BioShock
July 2019 |70.5|-14.5|-17.02|152|BioShock
June 2019 |85.0|27.5|47.84|192|BioShock
May 2019 |57.5|7.4|14.69|174|BioShock
April 2019 |50.1|-26.5|-34.57|118|BioShock
March 2019 |76.7|-21.7|-22.07|183|BioShock
February 2019 |98.4|23.4|31.23|304|BioShock
January 2019 |75.0|0.6|0.81|207|BioShock
December 2018 |74.3|2.4|3.32|168|BioShock
November 2018 |72.0|23.5|48.6|187|BioShock
October 2018 |48.4|-15.4|-24.14|145|BioShock
September 2018 |63.8|-12.7|-16.54|152|BioShock
August 2018 |76.5|-12.3|-13.84|214|BioShock
July 2018 |88.8|13.7|18.22|206|BioShock
June 2018 |75.1|14.7|24.4|182|BioShock
May 2018 |60.4|-20.3|-25.2|125|BioShock
April 2018 |80.7|-29.9|-27.02|245|BioShock
March 2018 |110.6|43.1|63.76|313|BioShock
February 2018 |67.5|-15.6|-18.78|149|BioShock
January 2018 |83.2|-0.8|-0.91|196|BioShock
