Month|Avg. Players|Gain|% Gain|Peak Players|Source File
March 2024|140.65|38.00|+37.01%|307|Crypt of the NecroDancer
February 2024|102.65|0.16|+0.16%|189|Crypt of the NecroDancer
January 2024|102.49|-7.28|-6.63%|159|Crypt of the NecroDancer
December 2023|109.77|-13.22|-10.75%|176|Crypt of the NecroDancer
November 2023|122.99|-10.69|-8.00%|224|Crypt of the NecroDancer
October 2023|133.68|26.85|+25.13%|489|Crypt of the NecroDancer
September 2023|106.84|4.72|+4.63%|194|Crypt of the NecroDancer
August 2023|102.11|-29.92|-22.66%|159|Crypt of the NecroDancer
July 2023|132.03|12.36|+10.33%|192|Crypt of the NecroDancer
June 2023|119.67|4.16|+3.60%|234|Crypt of the NecroDancer
May 2023|115.51|-12.22|-9.57%|196|Crypt of the NecroDancer
April 2023|127.73|-7.15|-5.30%|257|Crypt of the NecroDancer
March 2023|134.88|-27.64|-17.01%|252|Crypt of the NecroDancer
February 2023|162.52|24.49|+17.74%|287|Crypt of the NecroDancer
January 2023|138.03|-17.41|-11.20%|225|Crypt of the NecroDancer
December 2022|155.44|-10.51|-6.33%|243|Crypt of the NecroDancer
November 2022|165.95|-3.12|-1.85%|346|Crypt of the NecroDancer
October 2022|169.07|-20.34|-10.74%|380|Crypt of the NecroDancer
September 2022|189.41|-266.14|-58.42%|338|Crypt of the NecroDancer
August 2022|455.56|277.65|+156.07%|1497|Crypt of the NecroDancer
July 2022|177.9|51.88|+41.17%|340|Crypt of the NecroDancer
June 2022|126.02|-2.97|-2.31%|285|Crypt of the NecroDancer
May 2022|128.99|28.98|+28.98%|229|Crypt of the NecroDancer
April 2022|100.01|-16.51|-14.17%|154|Crypt of the NecroDancer
March 2022|116.52|-31.35|-21.20%|203|Crypt of the NecroDancer
February 2022|147.87|11.76|+8.64%|279|Crypt of the NecroDancer
January 2022|136.11|-13.76|-9.18%|261|Crypt of the NecroDancer
December 2021|149.86|33.76|+29.08%|227|Crypt of the NecroDancer
November 2021|116.1|-2.86|-2.40%|213|Crypt of the NecroDancer
October 2021|118.96|8.34|+7.54%|223|Crypt of the NecroDancer
September 2021|110.62|-26.57|-19.37%|210|Crypt of the NecroDancer
August 2021|137.19|-9.32|-6.36%|241|Crypt of the NecroDancer
July 2021|146.51|-7.14|-4.65%|239|Crypt of the NecroDancer
June 2021|153.66|-4.87|-3.07%|294|Crypt of the NecroDancer
May 2021|158.53|24.58|+18.35%|332|Crypt of the NecroDancer
April 2021|133.94|2.26|+1.72%|238|Crypt of the NecroDancer
March 2021|131.68|-22.69|-14.70%|301|Crypt of the NecroDancer
February 2021|154.37|19.41|+14.38%|243|Crypt of the NecroDancer
January 2021|134.97|-25.83|-16.06%|215|Crypt of the NecroDancer
December 2020|160.79|12.42|+8.37%|240|Crypt of the NecroDancer
November 2020|148.37|16.48|+12.50%|231|Crypt of the NecroDancer
October 2020|131.89|-27.28|-17.14%|268|Crypt of the NecroDancer
September 2020|159.17|23.55|+17.37%|271|Crypt of the NecroDancer
August 2020|135.62|-37.77|-21.78%|202|Crypt of the NecroDancer
July 2020|173.39|-24.90|-12.56%|271|Crypt of the NecroDancer
June 2020|198.29|18.23|+10.12%|403|Crypt of the NecroDancer
May 2020|180.06|-27.82|-13.38%|386|Crypt of the NecroDancer
April 2020|207.89|38.79|+22.94%|415|Crypt of the NecroDancer
March 2020|169.1|6.23|+3.82%|313|Crypt of the NecroDancer
