Month|Avg. Players|Gain|%_Gain|Peak Players|Source File
February 2024|185661.61|39497.42|+27.02%|469431|ApexLegends
January 2024|146164.19|1716.43|+1.19%|344621|ApexLegends
December 2023|144447.76|-22847.90|-13.66%|348791|ApexLegends
November 2023|167295.65|-14124.75|-7.79%|438349|ApexLegends
October 2023|181420.4|-5074.01|-2.72%|435229|ApexLegends
September 2023|186494.41|-2397.41|-1.27%|452991|ApexLegends
August 2023|188891.82|22692.73|+13.65%|451223|ApexLegends
July 2023|166199.09|-22901.93|-12.11%|349762|ApexLegends
June 2023|189101.02|-38846.42|-17.04%|446463|ApexLegends
May 2023|227947.44|5197.97|+2.33%|584294|ApexLegends
April 2023|222749.48|-33042.72|-12.92%|562634|ApexLegends
March 2023|255792.2|-1624.47|-0.63%|603290|ApexLegends
February 2023|257416.67|59447.65|+30.03%|624473|ApexLegends
January 2023|197969.02|27086.29|+15.85%|413670|ApexLegends
December 2022|170882.73|-1462.76|-0.85%|411891|ApexLegends
November 2022|172345.48|168.81|+0.10%|403157|ApexLegends
October 2022|172176.67|-49649.95|-22.38%|386994|ApexLegends
September 2022|221826.62|-8606.24|-3.73%|497242|ApexLegends
August 2022|230432.87|47271.56|+25.81%|510286|ApexLegends
July 2022|183161.31|5424.87|+3.05%|347314|ApexLegends
June 2022|177736.44|-17815.20|-9.11%|352659|ApexLegends
May 2022|195551.63|2953.12|+1.53%|411183|ApexLegends
April 2022|192598.51|9001.83|+4.90%|370651|ApexLegends
March 2022|183596.68|-20057.08|-9.85%|353623|ApexLegends
February 2022|203653.75|58070.81|+39.89%|392998|ApexLegends
January 2022|145582.94|23474.67|+19.22%|264287|ApexLegends
December 2021|122108.27|-14137.62|-10.38%|242823|ApexLegends
November 2021|136245.89|7716.46|+6.00%|318330|ApexLegends
October 2021|128529.43|-11118.53|-7.96%|248669|ApexLegends
September 2021|139647.96|-29880.22|-17.63%|273617|ApexLegends
August 2021|169528.17|38377.10|+29.26%|330476|ApexLegends
July 2021|131151.07|-5288.83|-3.88%|262129|ApexLegends
June 2021|136439.9|-27798.11|-16.93%|266591|ApexLegends
May 2021|164238.01|39332.88|+31.49%|330879|ApexLegends
April 2021|124905.13|-1215.93|-0.96%|217728|ApexLegends
March 2021|126121.06|5138.42|+4.25%|228439|ApexLegends
February 2021|120982.64|49215.90|+68.58%|196799|ApexLegends
January 2021|71766.74|7296.99|+11.32%|129928|ApexLegends
December 2020|64469.75|-10487.50|-13.99%|112076|ApexLegends
November 2020|74957.26|-|-|117193|ApexLegends
February 2024|32567.04|-6444.75|-16.52%|46511|Destiny2
January 2024|39011.79|-10439.39|-21.11%|58769|Destiny2
December 2023|49451.17|15964.82|+47.68%|103607|Destiny2
November 2023|33486.36|-8654.03|-20.54%|94423|Destiny2
October 2023|42140.39|-16822.77|-28.53%|68148|Destiny2
September 2023|58963.16|10139.81|+20.77%|145390|Destiny2
August 2023|48823.35|1421.32|+3.00%|126261|Destiny2
July 2023|47402.03|-15208.22|-24.29%|87620|Destiny2
June 2023|62610.26|-16022.92|-20.38%|120394|Destiny2
May 2023|78633.18|-9022.73|-10.29%|192081|Destiny2
April 2023|87655.91|-47446.38|-35.12%|142128|Destiny2
March 2023|135102.28|62964.85|+87.28%|312925|Destiny2
February 2023|72137.44|8457.64|+13.28%|316651|Destiny2
January 2023|63679.8|1541.67|+2.48%|96428|Destiny2
December 2022|62138.13|23979.21|+62.84%|121413|Destiny2
November 2022|38158.92|-21532.19|-36.07%|60854|Destiny2
October 2022|59691.11|-28933.84|-32.65%|102690|Destiny2
September 2022|88624.95|20076.12|+29.29%|149576|Destiny2
August 2022|68548.83|13581.71|+24.71%|193209|Destiny2
July 2022|54967.12|-15274.20|-21.75%|103075|Destiny2
June 2022|70241.32|3279.97|+4.90%|126948|Destiny2
May 2022|66961.36|8527.68|+14.59%|178829|Destiny2
April 2022|58433.68|-30172.24|-34.05%|88326|Destiny2
March 2022|88605.92|13436.28|+17.87%|229002|Destiny2
February 2022|75169.64|21519.55|+40.11%|289895|Destiny2
January 2022|53650.09|-8118.36|-13.14%|78752|Destiny2
December 2021|61768.45|17527.50|+39.62%|154358|Destiny2
