Month,Step Count,Distance (m) ,Calories Burned (cal x10),
2022-01,88645,37560.07701,0,0
2022-02,90602,40057.44639,0,0
2022-03,91152,40016.65364,0,0
2022-04,81746,36425.5484,0,0
2022-05,79547,34001.65256,0,0
2022-06,91289,40031.09024,0,0
2022-07,192122,84990.42885,0,0
2022-08,147695,62401.21814,0,0
2022-09,126045,53824.89781,4558.76,45587.6
2022-10,277937,127210.9963,139828.38,1398283.8
2022-11,323911,148609.6243,137820.66,1378206.6
2022-12,318506,145395.2405,137091.37,1370913.7
2023-01,293549,133649.6571,150019.31,1500193.1
2023-02,250912,115842.0804,123889.43,1238894.3
2023-03,429691,180500.778,148225.5,1482255
2023-04,230773,93918.51778,102768.39,1027683.9
2023-05,320791,133420.6898,109020.3,1090203
2023-06,267079,108218.3957,63069.627,630696.27
2023-07,298431,125617.2313,96464.37,964643.7
2023-08,318926,135017.6196,96729.96,967299.6
2023-09,244481,103533.366,83137.18,831371.8
2023-10,329911,140898.0831,108690.65,1086906.5
2023-11,167746,74542.89906,61128.415,611284.15
2023-12,217495,93472.80734,91254.442,912544.42
2024-01,284308,121970.2354,110318.318,1103183.18
2024-02,190101,82245.91276,81037.5,810375
