Date,Step Count,Distance (m),Calories Burned(cal x 10)
2021-01-01,5310,2161.77493,0
2021-01-02,1977,870.04337,0
2021-01-03,2715,1102.55498,0
2021-01-04,1799,810.35458,0
2021-01-05,1146,503.00624,0
2021-01-06,1235,552.49895,0
2021-01-07,669,297.965,0
2021-01-08,1257,538.18822,0
2021-01-09,1772,717.90124,0
2021-01-10,659,278.31217,0
2021-01-11,918,382.49758,0
2021-01-12,1602,731.53702,0
2021-01-13,1397,616.6366,0
2021-01-14,789,336.342,0
2021-01-15,747,315.83688,0
2021-01-16,1154,458.85732,0
2021-01-17,1138,481.42569,0
2021-01-18,1676,731.51571,0
2021-01-19,654,311.4359,0
2021-01-20,635,260.453701,0
2021-01-21,2522,1137.49499,0
2021-01-22,1226,527.58445,0
2021-01-23,703,283.80527,0
2021-01-24,257,110.49228,0
2021-01-25,1062,465.66817,0
2021-01-26,2968,1284.976991,0
2021-01-27,2807,1236.4351,0
2021-01-28,2172,956.65658,0
2021-01-29,1559,685.67717,0
2021-01-30,384,158.00844,0
2021-01-31,1565,658.11934,0
2021-02-01,1054,437.5324,0
2021-02-02,2414,1090.61214,0
2021-02-03,1609,710.99179,0
2021-02-04,462,183.58407,0
2021-02-05,579,242.71427,0
2021-02-06,2113,890.642506,0
2021-02-07,2020,870.09242,0
2021-02-08,2220,950.26311,0
2021-02-09,844,333.92002,0
2021-02-10,340,151.74901,0
2021-02-11,1502,645.98321,0
2021-02-12,1043,438.387204,0
2021-02-13,1211,518.34167,0
2021-02-14,1543,680.76804,0
2021-02-15,999,413.4916,0
2021-02-16,1707,680.389605,0
2021-02-17,424,172.8654,0
2021-02-18,560,223.28343,0
2021-02-19,3626,1626.41978,0
2021-02-20,278,111.91512,0
2021-02-21,2088,848.145749,0
2021-02-22,159,63.14375,0
2021-02-23,192,79.4486,0
2021-02-24,450,178.7561,0
2021-02-25,643,242.94988,0
2021-02-26,808,328.48844,0
2021-02-27,532,210.55781,0
2021-02-28,672,261.89553,0
2021-03-01,1218,538.207162,0
2021-03-02,816,344.62489,0
2021-03-03,720,307.07012,0
2021-03-04,1675,707.45631,0
2021-03-05,1282,568.17541,0
2021-03-06,2927,1250.1489,0
2021-03-07,1197,484.21453,0
2021-03-08,285,113.36918,0
2021-03-09,546,233.17623,0
2021-03-10,1797,793.17452,0
2021-03-11,1541,625.03114,0
2021-03-12,916,376.27262,0
2021-03-13,1623,698.7939,0
2021-03-14,2534,1093.15978,0
2021-03-15,730,293.18148,0
2021-03-16,1135,479.52641,0
2021-03-17,2059,918.15002,0
2021-03-18,1774,764.34821,0
2021-03-19,533,225.07209,0
2021-03-20,1760,742.58198,0
2021-03-21,1604,683.488774,0
2021-03-22,1332,529.80598,0
2021-03-23,414,165.433915,0
2021-03-24,1177,479.18289,0
2021-03-25,2315,963.88398,0
2021-03-26,2493,1055.6801,0
2021-03-27,2762,1153.84324,0
2021-03-28,1860,734.596699,0
2021-03-29,602,238.91088,0
2021-03-30,2688,1115.073459,0
2021-03-31,1275,531.14234,0
2021-04-01,886,362.57622,0
2021-04-02,1042,417.20691,0
2021-04-03,1712,758.93078,0
2021-04-04,2021,873.47228,0
2021-04-05,1446,542.45044,0
2021-04-06,2944,1212.67962,0
2021-04-07,440,174.412709,0
2021-04-08,199,78.94519,0
2021-04-09,668,282.92887,0
2021-04-10,1581,706.50836,0
2021-04-11,2426,1074.84772,0
2021-04-12,1673,696.98261,0
2021-04-13,275,109.52906,0
2021-04-14,804,323.98294,0
2021-04-15,542,217.3123,0
2021-04-16,1640,639.0182,0
2021-04-17,2499,1114.99414,0
2021-04-18,395,160.64933,0
2021-04-19,1776,768.54348,0
2021-04-20,502,196.04264,0
2021-04-21,170,73.787862,0
2021-04-22,928,369.21875,0
2021-04-23,1835,799.10752,0
2021-04-24,1612,682.59214,0
2021-04-25,2451,1058.21368,0
2021-04-26,1973,801.3341,0
2021-04-27,359,142.95273,0
2021-04-28,640,261.323867,0
2021-04-29,977,372.17648,0
2021-04-30,2090,856.019747,0
2021-05-01,2298,1015.4137,0
2021-05-02,842,368.30542,0
2021-05-03,1928,795.623561,0
2021-05-04,770,314.46934,0
